chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
0,0,147.0,263.0,10.0,826
1,12,115.0,215.0,58.0,1021
2,2,113.0,207.0,14.0,949
3,22,110.0,98.0,2.0,73
4,17,104.0,227.0,24.0,1173
5,29,101.0,0.0,38.0,0
6,3,100.0,207.0,12.0,548
7,13,98.0,156.0,24.0,1281
8,5,91.0,213.0,17.0,946
9,32,88.0,149.0,23.0,27
10,24,87.0,182.0,14.0,1093
11,8,83.0,210.0,11.0,953
12,42,80.0,184.0,45.0,727
13,44,80.0,145.0,16.0,1133
14,48,79.0,137.0,1.0,140
15,30,78.0,135.0,1.0,294
16,41,78.0,117.0,4.0,69
17,16,77.0,212.0,6.0,0
18,15,77.0,162.0,12.0,187
19,26,77.0,119.0,38.0,96
20,46,76.0,127.0,37.0,332
21,225,69.0,96.0,0.0,56
22,19,68.0,104.0,2.0,29
23,51,66.0,111.0,11.0,810
24,43,64.0,58.0,1.0,311
25,75,62.0,0.0,9.0,0
26,103,61.0,98.0,5.0,204
27,116,59.0,102.0,18.0,925
28,47,59.0,21.0,0.0,259
29,53,59.0,0.0,17.0,0
30,101,58.0,119.0,2.0,266
31,33,56.0,142.0,9.0,310
32,67,56.0,64.0,8.0,529
33,11,55.0,202.0,5.0,168
34,80,55.0,65.0,1.0,0
35,88,53.0,148.0,22.0,1451
36,37,53.0,123.0,2.0,81
37,98,52.0,143.0,3.0,200
38,106,52.0,135.0,37.0,312
39,126,52.0,44.0,2.0,0
40,6,50.0,222.0,13.0,418
41,4,50.0,133.0,15.0,425
42,63,50.0,121.0,12.0,171
43,89,50.0,52.0,0.0,1170
44,34,49.0,123.0,18.0,354
45,1,48.0,126.0,14.0,382
46,121,48.0,115.0,9.0,638
47,99,47.0,106.0,4.0,78
48,49,47.0,86.0,1.0,16
49,132,46.0,122.0,3.0,368
50,96,46.0,105.0,1.0,0
51,136,46.0,90.0,1.0,176
52,57,45.0,111.0,15.0,210
53,74,45.0,65.0,14.0,176
54,426,44.0,122.0,17.0,58
55,9,44.0,110.0,13.0,339
56,133,44.0,108.0,29.0,22
57,108,44.0,108.0,17.0,153
58,85,44.0,75.0,11.0,323
59,417,44.0,44.0,1.0,11
60,87,43.0,120.0,26.0,49
61,109,43.0,112.0,5.0,519
62,157,43.0,97.0,11.0,153
63,7,43.0,89.0,13.0,194
64,143,43.0,76.0,5.0,0
65,65,43.0,2.0,5.0,0
66,192,42.0,133.0,14.0,166
67,38,42.0,111.0,4.0,82
68,77,42.0,108.0,26.0,154
69,56,42.0,79.0,1.0,615
70,58,41.0,115.0,6.0,216
71,61,41.0,84.0,14.0,37
72,10,40.0,205.0,12.0,251
73,23,40.0,152.0,11.0,139
74,27,40.0,109.0,14.0,211
75,18,40.0,100.0,14.0,187
76,94,39.0,107.0,0.0,0
77,102,39.0,91.0,3.0,486
78,52,39.0,71.0,10.0,176
79,62,39.0,0.0,0.0,0
80,21,38.0,119.0,1.0,150
81,146,38.0,113.0,13.0,28
82,92,38.0,89.0,5.0,82
83,64,38.0,79.0,11.0,16
84,78,38.0,74.0,14.0,194
85,125,38.0,69.0,4.0,3
86,50,38.0,64.0,10.0,110
87,117,38.0,23.0,3.0,88
88,152,37.0,81.0,1.0,503
