playlist_id,track_id,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
0,753,52898,203,8215
1,626,51979,306,5063
2,716,50887,315,6284
3,620,49991,265,12367
4,199,44927,34,5108
5,55,43899,672,3421
6,162,43257,433,3631
7,723,42798,217,6508
8,114,41751,101,2655
9,863,41231,228,6720
10,713,40112,321,5691
11,168,36843,321,4607
12,182,36724,146,6807
13,590,35684,195,6280
14,645,33966,141,6591
15,75,33898,233,4095
16,172,33783,133,2733
17,668,33206,284,1481
18,681,33032,363,3895
19,296,32502,247,5567
20,179,32181,33,6808
21,649,31762,142,5451
22,65,31358,196,4053
23,80,31123,300,1003
24,901,30992,124,7827
25,654,30427,235,5221
26,48,29536,281,2445
27,653,29499,124,587
28,157,29215,179,3394
29,721,28032,315,2179
30,403,27705,537,2726
31,619,27221,308,4534
32,407,27119,532,1535
33,110,26792,69,695
34,173,26694,65,3425
35,325,25744,122,1992
36,440,25653,387,2094
37,358,25065,63,6808
38,616,24529,533,3595
39,41,24094,372,843
40,189,23804,187,4623
41,14,23575,403,863
42,177,23389,54,1089
43,720,23375,336,2692
44,636,22923,78,2515
45,758,22730,289,2430
46,71,22543,386,707
47,166,22439,211,929
48,441,22153,274,1302
49,127,21915,437,1212
50,423,21811,117,676
51,186,21574,112,266
52,176,21335,328,1378
53,115,21164,80,476
54,188,21106,82,2946
55,106,21097,384,1034
56,143,21081,98,3889
57,250,20763,81,3271
58,98,20333,89,1632
59,331,20111,39,7341
60,147,20015,107,5239
61,893,19806,33,274
62,187,19664,391,633
63,665,19067,78,1674
64,140,18986,250,2969
65,757,18778,228,2453
66,664,18773,128,1663
67,167,18515,70,939
68,54,18371,250,3394
69,395,17852,69,335
70,86,17836,440,1800
71,884,17504,63,1315
72,400,17492,136,1959
73,612,17354,92,1282
74,152,17138,119,974
75,669,17115,83,4180
76,84,17050,492,798
77,630,16636,368,2854
78,138,16596,7,2094
79,73,16413,166,1056
80,432,15894,198,544
81,195,15890,71,653
82,513,15867,382,497
83,324,15722,231,1509
84,510,15563,259,461
85,128,15032,221,1078
86,689,15010,453,1785
87,442,14994,191,206
88,617,14749,188,710
89,109,14739,88,2163
90,568,14417,237,569
91,595,14311,255,582
92,461,14169,209,449
93,439,14143,56,1891
94,551,14140,231,612
95,504,14114,252,965
96,134,13985,30,588
97,165,13801,137,435
98,691,13454,246,519
99,43,13387,77,247
100,410,13315,300,690
101,815,13101,137,582
102,184,13091,61,790
103,103,12985,49,2394
104,22,12859,24,582
105,581,12854,237,636
106,428,12755,344,945
107,164,12688,197,112
108,532,12685,185,485
109,42,12482,291,537
110,502,12403,183,465
111,750,12382,229,1370
112,444,12353,35,549
113,516,12329,275,738
114,12,12211,300,745
115,634,12043,209,710
116,731,11985,79,250
117,545,11975,188,268
118,467,11940,73,123
119,459,11500,140,251
120,37,11434,154,410
121,552,11215,189,525
122,292,11087,151,801
123,456,10829,130,390
124,902,10826,24,805
125,320,10624,21,386
126,426,10565,238,557
127,323,10431,71,181
128,431,10426,133,182
129,443,10326,165,104
130,848,10211,38,65
131,246,10195,258,657
132,274,10147,234,543
133,453,10114,114,262
134,637,9974,272,1066
135,715,9833,233,531
136,578,9771,42,384
137,855,9724,222,259
138,421,9644,120,164
139,452,9577,195,310
140,785,9539,162,355
141,693,9514,45,1197
142,433,9424,202,463
143,445,9408,231,439
144,132,9389,24,282
145,735,9243,155,577
146,310,9161,240,468
147,527,9151,240,268
148,469,9122,121,212
149,33,9082,242,165
150,192,9037,124,139
151,446,8879,182,160
152,87,8870,104,141
153,846,8775,33,107
154,725,8737,163,137
155,492,8612,120,52
156,77,8576,216,331
157,523,8559,183,964
158,563,8528,239,583
159,74,8506,94,164
160,528,8476,138,283
161,100,8448,160,163
162,46,8431,241,458
163,752,8429,85,200
164,588,8327,205,625
165,596,8207,175,95
166,230,8186,155,131
167,15,8109,183,161
168,618,8087,92,131
169,371,8084,45,218
170,521,7963,173,298
