track_id,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,artist_pop,album,track_pop,loudness,time_signature,duration
0,Seven (feat. Latto) (Explicit Ver.),0,2,2023,7,14,553.0,147.0,141381703,43.0,263.0,45,10.0,826,125.0,11.0,0,80.0,89.0,83.0,31.0,0.0,8.0,4.0,unknown,unknown,unknown,unknown,unknown,unknown
1,LALA,2,1,2023,3,23,1474.0,48.0,133716286,48.0,126.0,58,14.0,382,92.0,1.0,0,71.0,61.0,74.0,7.0,0.0,10.0,4.0,unknown,unknown,unknown,unknown,unknown,unknown
2,vampire,3,1,2023,6,30,1397.0,113.0,140003974,94.0,207.0,91,14.0,949,138.0,5.0,0,51.0,32.0,53.0,17.0,0.0,31.0,6.0,unknown,unknown,unknown,unknown,unknown,unknown
3,Cruel Summer,4,1,2019,8,23,7858.0,100.0,800840817,116.0,207.0,125,12.0,548,170.0,9.0,0,55.0,58.0,72.0,11.0,0.0,11.0,15.0,unknown,unknown,unknown,unknown,unknown,unknown
4,WHERE SHE GOES,5,1,2023,5,18,3133.0,50.0,303236322,84.0,133.0,87,15.0,425,144.0,9.0,1,65.0,23.0,80.0,14.0,63.0,11.0,6.0,unknown,unknown,unknown,unknown,unknown,unknown
5,Sprinter,6,2,2023,6,1,2186.0,91.0,183706234,67.0,213.0,88,17.0,946,141.0,1.0,0,92.0,66.0,58.0,19.0,0.0,8.0,24.0,unknown,unknown,unknown,unknown,unknown,unknown
6,Ella Baila Sola,8,2,2023,3,16,3090.0,50.0,725980112,34.0,222.0,43,13.0,418,148.0,5.0,1,67.0,83.0,76.0,48.0,0.0,8.0,3.0,unknown,unknown,unknown,unknown,unknown,unknown
7,Columbia,10,1,2023,7,7,714.0,43.0,58149378,25.0,89.0,30,13.0,194,100.0,5.0,0,67.0,26.0,71.0,37.0,0.0,11.0,4.0,unknown,unknown,unknown,unknown,unknown,unknown
8,fukumean,11,1,2023,5,15,1096.0,83.0,95217315,60.0,210.0,48,11.0,953,130.0,1.0,1,85.0,22.0,62.0,12.0,0.0,28.0,9.0,unknown,unknown,unknown,unknown,unknown,unknown
9,La Bebe - Remix,9,2,2023,3,17,2953.0,44.0,553634067,49.0,110.0,66,13.0,339,170.0,2.0,1,81.0,56.0,48.0,21.0,0.0,8.0,33.0,unknown,unknown,unknown,unknown,unknown,unknown
10,un x100to,5,2,2023,4,17,2876.0,40.0,505671438,41.0,205.0,54,12.0,251,83.0,6.0,1,57.0,56.0,72.0,23.0,0.0,27.0,5.0,unknown,unknown,unknown,unknown,unknown,unknown
